Variable	Description	Range	Units	dataValue
SOIL_TEX_WATER_HOLD_CAP_STATISTIC	Soil water holding capacity statistic	STATISTIC		
SOIL_TEX_WATER_HOLD_CAP_STATISTIC_METHOD	Soil water holding capacity statistic method	STATISTIC_METHOD		
SOIL_TEX_WATER_HOLD_CAP_STATISTIC_NUMBER	Number of observations used to determine soil water holding capacity statistic	integer		
SOIL_TEX_WILT	Wilting point	float	%vol	
SOIL_TEX_WILT_STATISTIC	Wilting point statistic	STATISTIC		
SOIL_TEX_WILT_STATISTIC_METHOD	Wilting point statistic method	STATISTIC_METHOD		
SOIL_TEX_WILT_STATISTIC_NUMBER	Number of observations used to determine wilting point statistic	integer		
SOIL_TEX_SAT	Soil water saturation point	float	%vol	
SOIL_TEX_SAT_STATISTIC	Soil water saturation point statistic	STATISTIC		
SOIL_TEX_SAT_STATISTIC_METHOD	Soil water saturation point statistic method	STATISTIC_METHOD		
SOIL_TEX_SAT_STATISTIC_NUMBER	Number of observations used to determine soil water saturation point statistic	integer		
SOIL_TEX_FIELD_CAP	Field capacity	float	%vol	
SOIL_TEX_FIELD_CAP_STATISTIC	Field capacity statistic	STATISTIC		
SOIL_TEX_FIELD_CAP_STATISTIC_METHOD	Field capacity statistic method	STATISTIC_METHOD		
SOIL_TEX_FIELD_CAP_STATISTIC_NUMBER	Number of observations used to determine field capacity statistic	integer		
SOIL_TEX_PROFILE_ZERO_REF	Soil texture profile zero reference	PROFILE_ZERO_REF		
SOIL_TEX_PROFILE_MIN	Soil texture profile minimum depth	float	cm	
SOIL_TEX_PROFILE_MAX	Soil texture profile maximum depth	float	cm	
SOIL_TEX_HORIZON	Soil texture profile horizon	string		
SOIL_TEX_APPROACH	Soil texture measurement approach	string		
SOIL_TEX_DATE	Soil texture measurement date	float	YYYYMMDDHHMM	
SOIL_TEX_DATE_UNC	Uncertainty in the Soil texture measurement date	float	days	
SOIL_TEX_COMMENT	Soil texture comments	string		
PFCURVE_MP	Water retention (pF) curve matric potential	float	kPa	
PFCURVE_MP_STATISTIC	Water retention (pF) curve matric potential statistic	STATISTIC		
PFCURVE_MP_STATISTIC_METHOD	Water retention (pF) curve matric potential statistic method	STATISTIC_METHOD		
PFCURVE_MP_STATISTIC_NUMBER	Number of observations used to determine water retention (pF) curve matric potential statistic	integer		
PFCURVE_SWC	Water retention (pF) curve soil water content (SWC)	float	%	
PFCURVE_SWC_STATISTIC	Water retention (pF) curve soil water content (SWC) statistic	STATISTIC		
PFCURVE_SWC_STATISTIC_METHOD	Water retention (pF) curve soil water content (SWC) statistic method	STATISTIC_METHOD		
PFCURVE_SWC_STATISTIC_NUMBER	Number of observations used to determine water retention (pF) curve soil water content (SWC) statistic	integer		
PFCURVE_SWC_UNIT	Measurement unit of Water retention (pF) curve soil water content (SWC)	UNIT_SWC		
PFCURVE_APPROACH	Water retention (pF) curve measurement approach	string		
PFCURVE_DATE	Water retention (pF) curve measurement date	float	YYYYMMDDHHMM	
PFCURVE_DATE_UNC	Uncertainty in the Water retention (pF) curve measurement date	float	days	
PFCURVE_COMMENT	Water retention (pF) curve comments	string		
WTD	Water table depth (not continuous measurements)	float	m	
WTD_STATISTIC	Water table depth statistic	STATISTIC		
WTD_STATISTIC_METHOD	Water table depth statistic method	STATISTIC_METHOD		
WTD_STATISTIC_NUMBER	Number of observations used to determine water table depth statistic	integer		
WTD_APPROACH	Water table depth measurement approach	string		
WTD_DATE	Water table depth measurement date	float	YYYYMMDDHHMM	
WTD_DATE_UNC	Uncertainty in the Water table depth measurement date	float	days	
WTD_COMMENT	Water table depth comments	string		
SWC	Soil water content (not continuous measurements)	float	%	
SWC_STATISTIC	Soil water content statistic	STATISTIC		
SWC_STATISTIC_METHOD	Soil water content statistic method	STATISTIC_METHOD		
SWC_STATISTIC_NUMBER	Number of observations used to determine soil water content statistic	integer		
SWC_UNIT	Measurement unit of Soil water content	UNIT_SWC		
SWC_PROFILE_ZERO_REF	Soil water content profile zero reference	PROFILE_ZERO_REF		
SWC_PROFILE_MIN	Soil water content profile minimum depth	float	cm	
SWC_PROFILE_MAX	Soil water content profile maximum depth	float	cm	
SWC_HORIZON	Soil water content horizon	string		
SWC_APPROACH	Soil water content measurement approach	string		
SWC_DATE	Soil water content measurement date	float	YYYYMMDDHHMM	
SWC_DATE_START	Start date of Soil water content measurment	float	YYYYMMDDHHMM	
SWC_DATE_END	End date of Soil water content measurement	float	YYYYMMDDHHMM	
SWC_DATE_UNC	Uncertainty in the Date(s) of Soil water content measurement	float	days	
SWC_COMMENT	Soil water content comments	string		
SOIL_WRB_GROUP	Soil Group for tower site according to the Soil World Reference Base for Soil Resources (WRB)	SOIL_GROUP		
SOIL_WRB_GROUP_APPROACH	Approach used for assigning Soil WRB Group	string		
SOIL_WRB_GROUP_COMMENT	Soil WRB Group comments	string		
SOIL_ORDER	Soil Order for tower site according to National Resource Conservation Service (NRCS) Soil Taxonomy	SOIL_ORDER		
SOIL_ORDER_APPROACH	Approach used for assigning Soil Order	string		
SOIL_ORDER_COMMENT	Soil Order comments	string		
SOIL_CLASSIFICATION	Soil Classification for tower site according to a taxonomy	string		
SOIL_CLASSIFICATION_TAXONOMY	Specify the taxonomy used for Soil Classification	SOIL_CLASS_TAXON		
SOIL_CLASSIFICATION_APPROACH	Approach used for assigning Soil Classification	string		
SOIL_CLASSIFICATION_COMMENT	Soil Classification comments	string		
SOIL_SERIES	Soil Series for tower site according to a taxonomy	string		
SOIL_SERIES_APPROACH	Approach used for assigning Soil Series	string		
SOIL_SERIES_COMMENT	Soil Series comments	string		
SOIL_DEPTH	Soil depth	float	cm	
SOIL_DEPTH_STATISTIC	Soil depth statistic	STATISTIC		
SOIL_DEPTH_STATISTIC_METHOD	Soil depth statistic method	STATISTIC_METHOD		
SOIL_DEPTH_STATISTIC_NUMBER	Number of observations used to determine soil depth statistic	integer		
SOIL_DEPTH_ORG	Soil depth of organic horizon	float	cm	
SOIL_DEPTH_ORG_STATISTIC	Soil depth of organic horizon statistic	STATISTIC		
SOIL_DEPTH_ORG_STATISTIC_METHOD	Soil depth of organic horizon statistic method	STATISTIC_METHOD		
SOIL_DEPTH_ORG_STATISTIC_NUMBER	Number of observations used to determine soil depth of organic horizon statistic	integer		
SOIL_DEPTH_APPROACH	Soil depth measurement approach	string		
SOIL_DEPTH_DATE	Soil depth measurement date	float	YYYYMMDDHHMM	
SOIL_DEPTH_DATE_UNC	Uncertainty in the Soil depth measurement date	float	days	
SOIL_DEPTH_COMMENT	Soil depth comments	string		
